spotify_id,name,birthday,popularity,genres
3TVXtAsR1Inumwj472S9r4,Drake,1986-10-24,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,1996-09-13,81,"['atl hip hop', 'plugg', 'pluggnb', 'rap', 'trap']"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,1977-06-08,90,"['chicago rap', 'rap']"
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,1969-12-04,82,"['east coast hip hop', 'hip hop', 'rap']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,1998-12-02,88,"['chicago rap', 'melodic rap']"
1URnnhqYAYcrqrcwql10ft,21 Savage,1992-10-22,86,"['atl hip hop', 'rap', 'trap']"
246dkjvS1zLTtiykXe5h60,Post Malone,1995-07-04,89,"['dfw rap', 'melodic rap', 'rap']"
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",1991-03-06,84,"['hip hop', 'rap']"
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,1987-06-17,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,1972-10-17,89,"['detroit hip hop', 'hip hop', 'rap']"
5f7VJjfbwm532GiveGC0ZK,Lil Baby,1994-12-03,87,"['atl hip hop', 'atl trap', 'rap', 'trap']"
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,1999-06-18,81,"['melodic rap', 'rap', 'trap']"
1RyvyyTE3xzB2ZywiAwp0i,Future,1983-11-20,87,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,1995-07-31,84,"['melodic rap', 'philly rap', 'rap', 'trap']"
55Aa2cqylxrFIXC767Z865,Lil Wayne,1982-09-27,85,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
3hcs9uc56yIGFCSy9leWe7,Lil Durk,1992-10-19,84,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,1993-06-14,84,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,1999-10-20,83,"['baton rouge rap', 'trap']"
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,1995-09-19,82,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,1991-04-30,86,"['hip hop', 'rap', 'slap house']"
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,1998-01-23,86,"['emo rap', 'miami hip hop']"
6AgTAQt8XS6jRWi4sX7w49,Polo G,1999-01-06,83,['chicago rap']
50co4Is1HCEo8bhOyUWKpn,Young Thug,1991-08-16,84,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,1985-01-28,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
4LLpKhyESsyAXpc4laK94U,Mac Miller,1992-01-19,82,"['hip hop', 'pittsburgh rap', 'rap']"
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,1989-05-05,86,"['dance pop', 'pop', 'pop rap', 'r&b']"
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,1997-06-11,80,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']"
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,null,82,"['dark trap', 'new orleans rap', 'underground hip hop']"
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,1998-03-13,85,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
4r63FhuTkUYltbVAg5TQnk,DaBaby,1991-12-22,82,"['north carolina hip hop', 'rap', 'trap']"
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,1995-12-06,80,"['melodic rap', 'rap', 'trap']"
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,1982-12-08,84,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']"
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,1998-10-22,80,"['melodic rap', 'rap', 'trap']"
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,1984-01-30,81,"['hip hop', 'ohio hip hop', 'rap']"
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,1987-09-08,81,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
4kYSro6naA4h99UJvo89HB,Cardi B,1992-10-11,81,"['dance pop', 'pop', 'pop rap', 'rap']"
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,1986-02-05,75,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,2001-04-30,80,"['brooklyn drill', 'melodic rap', 'nyc rap']"
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,1980-02-12,77,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,1996-11-01,81,"['emo rap', 'lgbtq+ hip hop']"
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,1995-02-15,80,"['dance pop', 'houston rap', 'pop', 'trap queen']"
45TgXXqMDdF8BkjA83OM7z,Rod Wave,1999-08-27,74,['florida rap']
4xRYI6VqpkE3UwrDrAZL8L,Logic,1990-01-22,77,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,1988-10-03,80,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,1971-10-20,81,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
2cFrymmkijnjDg9SS92EPM,blackbear,1990-11-27,80,"['electropop', 'pop', 'pop rap']"
6fOMl44jA4Sp5b9PpYCkzz,NF,1991-03-30,78,"['hip hop', 'pop rap', 'rap']"
6icQOAFXDZKsumw3YXyusw,Lil Yachty,1997-08-23,76,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'viral rap']"
0VRj0yCOv2FXJNP47XQnx5,Quavo,1991-04-02,78,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0c173mlxpT3dSFRgMO8XPh,Big Sean,1988-03-25,78,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,1992-07-27,78,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']"
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,1976-01-28,76,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
5SXuuuRpukkTvsLuUknva1,Baby Keem,2000-10-22,76,"['hip hop', 'rap']"
17lzZA2AlOHwCwFALHttmp,2 Chainz,1977-09-12,76,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,1999-12-20,77,"['brooklyn drill', 'nyc rap']"
6oMuImdp5ZcFhWP0ESe6mG,Migos,null,77,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
3q7HBObVc0L8jNeTe5Gofh,50 Cent,1975-07-06,81,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,1991-09-22,77,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,1993-09-16,77,"['hip hop', 'rap', 'southern hip hop', 'trap']"
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,1982-04-13,80,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,1983-09-25,77,"['atl hip hop', 'hip hop', 'rap']"
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,1993-01-02,77,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']"
1ZwdS5xdxEREPySFridCfh,2Pac,1971-06-16,78,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
6QtgPSJPSzcnn7dPZ4VINp,King Von,1994-08-09,74,['chicago rap']
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,2002-11-01,76,"['memphis hip hop', 'viral rap']"
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2002-08-26,77,"['melodic rap', 'pluggnb']"
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,1991-12-14,76,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']"
5LHRHt1k9lMyONurDHEdrp,Tyga,1989-11-19,79,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
4Gso3d4CscCijv0lmajZWs,Don Toliver,1994-06-12,78,"['pop', 'rap', 'trap']"
0TnOYISbd1XYRBk9myaseg,Pitbull,1981-01-15,82,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
20sxb77xiYeusSH8cVdatc,Meek Mill,1987-05-06,75,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,1993-04-16,75,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
3aQeKQSyrW4qWr35idm0cy,T-Pain,1984-09-30,76,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
1z7b1Pr1rSlvWRzsW3HOrS,Russ,1992-09-26,76,"['hawaiian hip hop', 'rap']"
2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,1996-04-18,75,"['miami hip hop', 'rap']"
