spotify_id,name,birthday,popularity,genres
0b1sIQumIAsNbqAoIClSpy,j-hope,1994-02-18,78,"['k-pop', 'k-rap']"
4XDi67ZENZcbfKnvMnTYsI,Jay Park,1987-04-25,66,"['k-pop', 'k-rap', 'korean r&b']"
2dd5mrQZvg6SmahdgVKDzh,PSY,1977-12-31,68,"['k-pop', 'k-rap', 'korean old school hip hop']"
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,1993-03-09,65,['k-rap']
2auC28zjQyVTsiZKNgPRGs,RM,1994-09-12,63,['k-rap']
2u7CP5T30c8ctenzXgEV1W,pH-1,1989-07-23,59,"['k-pop', 'k-rap', 'korean r&b']"
2o8gT0fQmFxGNbowbdgeZe,DPR IAN,1990-09-06,59,['k-rap']
4XpUIb8uuNlIWVKmgKZXC0,ZICO,1992-09-14,58,"['k-pop', 'k-rap', 'korean r&b']"
5DIi2JWfQPTKffaVBlIYRn,Sik-K,1994-02-26,55,"['k-rap', 'korean r&b']"
3hvinNZRzTLoREmqFiKr1b,CHANGMO,1994-05-31,58,"['k-rap', 'korean r&b']"
7cEaNXXTHx3LokbjUUyHal,BIG Naughty,2003-06-02,56,['k-rap']
30b9WulBM8sFuBo17nNq9c,G-DRAGON,1988-08-18,59,"['k-pop', 'k-rap']"
5snNHNlYT2UrtZo5HCJkiw,Epik High,null,56,"['k-pop', 'k-rap', 'korean old school hip hop', 'korean pop']"
2MtHuR0W2idZdF7x4wddqq,GIRIBOY,1991-01-24,55,"['k-rap', 'korean r&b']"
3kPEBSt7qgVoRZSbIXMr7W,GRAY,1986-12-08,54,['k-rap']
5HenzRvMtSrgtvU16XAoby,Zion.T,1989-04-13,54,"['k-pop', 'k-rap', 'korean pop', 'korean r&b']"
5NUVwRESNqYBUTRbiATjy7,BE'O,2000-04-27,56,['k-rap']
0tkHE1pQ5ZCgQb8WZ0ba79,Gaeko,1981-01-14,53,"['k-rap', 'korean pop', 'korean r&b']"
7IrDIIq3j04exsiF3Z7CPg,Beenzino,1987-09-12,53,"['k-indie', 'k-rap', 'korean r&b']"
3ytV7vc4ZuwGgwaOuWvkk8,MINO,1993-03-30,54,"['k-pop', 'k-rap']"
7IEhlwWQA7pCkEvzwwHehE,ASH ISLAND,1999-08-11,54,['k-rap']
29HqjVbJr3vsc2l6BTI4eB,GroovyRoom,null,52,"['k-rap', 'korean r&b']"
0IznZPMUyaPGdqfP4oqBja,Coogie,1994-01-23,52,['k-rap']
1MAUqH0haKBYbjpknTfreY,PENOMECO,1992-10-07,50,"['k-pop', 'k-rap', 'korean r&b']"
57W9ikVc6O2wLDtmclSjvN,Simon Dominic,1984-03-09,51,"['k-rap', 'korean r&b']"
1wsoV3RXPkxVz3PwsNRI5K,BewhY,1993-06-15,51,['k-rap']
25wMXkplvEHJpJHX8A6Ved,lIlBOI,1991-06-07,52,['k-rap']
7IWshUcKfJyDWrbiF2XT8J,Kid Milli,1993-10-26,49,"['k-rap', 'korean underground rap']"
5enwJ9yOnKlCP91ov4Dqhv,punchnello,1997-05-28,48,"['k-rap', 'korean r&b']"
79g2STpP2iV1xfgHuhrhX0,Leellamarz,1995-07-04,51,"['k-rap', 'korean pop', 'korean r&b']"
7LTShHcq1KdTrWeLvWoYed,Dumbfoundead,1986-02-18,45,"['asian american hip hop', 'battle rap', 'k-rap']"
2krUNMgFZYm5s4Nn0g91W9,HAON,2000-07-07,48,['k-rap']
0Qr4St9aCOLu41Nt5QZIz1,Ugly Duck,1991-01-19,51,['k-rap']
6iLGJqxVgxxWsJe5bW4dxt,Woodie Gochild,1996-04-02,47,"['k-rap', 'korean r&b']"
23LskvW8ErKu8v1teU7xFZ,sokodomo,2000-11-15,47,['k-rap']
6N7b9mUVwn885jI7RRg8no,Mirani,1996-05-14,49,['k-rap']
2qI1pO64eYqGUiv1XTw4cy,The Quiett,1985-01-29,47,"['k-rap', 'korean r&b', 'korean trap']"
0Y2AcMPMpeuPXtPQGVvRBq,Lee Young Ji,2002-09-10,48,"['k-rap', 'korean trap']"
5ZjBaiZiRUZx4AmlzOOc9R,Junoflo,1992-09-25,45,['k-rap']
1Ktiv08TbBy195pQUH8Qld,THAMA,1993-04-22,46,"['chill r&b', 'k-rap', 'korean r&b']"
5a8EJtOEbUJDF4RX3mKK02,Woo,1996-12-23,46,['k-rap']
3ghCvruix2FYZ81DHRlOt1,BLOO,1994-10-12,48,['k-rap']
0Ch0t9gI47Lkal71uQnmV3,JUSTHIS,1991-05-07,46,['k-rap']
2fiGm496AG7ePURQiSSJIw,Paul Blanco,1997-09-14,46,['k-rap']
0E0fq98DMHhkAgiXWpCViX,Skinny Brown,1994-07-29,47,['k-rap']
3Zn6C68VCosoQrxu4D2Btr,nafla,1992-02-28,45,['k-rap']
3NdOtTPPaXrCyC7Lpmzyhv,Tablo,1980-07-22,45,"['k-pop', 'k-rap', 'korean r&b']"
2Yv0nlRtzgPl6u0dsS2hFv,Paloalto,1984-01-24,46,['k-rap']
4WnO2VmlwdTX77ANsThWLQ,CODE KUNST,1989-12-18,45,"['k-rap', 'korean r&b']"
0rW6fVd3yuW2CF2sLYWQtE,Dok2,1990-03-28,45,"['k-rap', 'korean old school hip hop']"
7xX15v6ahAkcT14kHfB9wB,True Damage,null,47,['k-rap']
6zTIxEXFWjoNu2VXauDITb,Junggigo,1980-09-05,48,"['k-pop', 'k-rap', 'korean pop', 'korean r&b']"
698zn8fEOIr1OrfqG4283S,TOIL,1994-12-04,47,"['k-rap', 'korean pop']"
3l9s67pOK4Stw9yW1wr0Bg,Loopy,1987-09-09,47,['k-rap']
5Qb6QmI6WUeGFaJeGB5fdg,MELOH,1993-08-26,43,['k-rap']
0su5mZ6qhvOUhz7ckEx8rR,YUMDDA,1984-04-20,44,['k-rap']
4nvFFLtv7ZqoTr83387uK4,Dynamicduo,null,43,"['k-rap', 'korean pop', 'korean r&b']"
4QDcs3XrA8uHUZ7Xt9Ytep,Primary,1983-01-31,45,"['k-indie', 'k-rap', 'korean city pop', 'korean pop']"
6b29EYSqnLhUyxC3yyNbyr,TRADE L,2004-07-21,44,['k-rap']
7hKH0uNhhgWJCumCtKMYey,twlv,1993-09-29,43,"['k-rap', 'korean r&b']"
305pg6Bs6Mz9Tm2zK66psY,Cosmic Boy,1993-03-19,44,"['k-rap', 'korean r&b']"
69H1Ooj2eBJXLTk3IEBV0v,Reddy,1985-11-11,44,['k-rap']
24sQuJhQ85ZygDG7sUVUxR,Verbal Jint,1980-12-19,46,"['k-rap', 'korean old school hip hop']"
0Q5XzDpn7DCI5jlubok4xb,SUPERBEE,1994-05-02,44,['k-rap']
42xj5mBLvrFdW6tYns6mxs,RAVI,1993-02-15,46,"['k-pop', 'k-rap']"
3yVEZNS0ateVfoj8FuazKg,Hash Swan,1995-03-12,43,['k-rap']
0dX6tgZKWpamoFHFuXFhwd,Mad Clown,1985-03-25,49,['k-rap']
08KbKkPqaYNFYM9R5eMjuM,Uneducated Kid,1997-02-22,44,['k-rap']
4FuRHFtCeoYaeeVDKyyvbS,OVAN,1997-12-02,43,"['k-rap', 'korean pop', 'korean r&b']"
59KuGY6nfY3w39O0qYVA7p,Keem Hyo-Eun,1993-07-29,42,['k-rap']
7MWT3sTDz6GemZla4Y5oCk,Gist,2001-11-19,42,['k-rap']
